Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Transcription Corepressor Binding (GO:0001222),-0.45270640053824446,-1.6250776586555493,0.0049504950495049506,0.15711197920406728,0.986,20/41,26.02%,ZBTB16;FAM89B;PER1;PER2;NR1D1;EED;PBX1;ETS1;HDAC3;STK36;EZH2;TRAPPC2B;MTF2;ELOC;ZBTB7A;EHMT1;THAP7;CNOT2;EHMT2;LCOR
prerank,Phospholipid Transfer Activity (GO:0120014),0.5077664343146194,1.619319836653843,0.020512820512820513,0.20733151278897666,0.985,8/20,16.32%,PITPNC1;GLTPD2;OSBPL2;PRELID3B;GLTP;PLTP;MTTP;CPTP
prerank,Peptidase Activator Activity Involved In Apoptotic Process (GO:0016505),0.5226583706054004,1.6088096980637498,0.02040816326530612,0.2143389964770382,0.988,8/18,19.93%,CTSH;RPS27L;CASP1;PYCARD;CARD8;MAL;ST20;CTSS
prerank,GDP Binding (GO:0019003),0.39031924877058893,1.6078075060526331,0.00267379679144385,0.2076199883583511,0.988,15/57,12.74%,RIT1;RAB31;DIRAS3;RAB29;RALA;RAB10;RAB4A;RAP1B;RASL12;RAB8B;RRAS;RAB22A;NRAS;RAB8A;RAB21
prerank,Ionotropic Glutamate Receptor Activity (GO:0004970),-0.5771291128893075,-1.6056387156564136,0.020905923344947737,0.17816540217264054,0.993,5/15,18.93%,GRIN2A;GRIN1;GRIA2;GRIA3;PTK2B
prerank,Protein Serine/Threonine Kinase Activity (GO:0004674),-0.3294425366062216,-1.6051092841536367,0.0,0.17387599656329808,0.993,87/302,21.29%,MAP3K13;CDKL1;MAST4;HUNK;PRKCE;LRRK2;RPS6KA3;CDK13;LMTK2;MOK;SRPK1;CAMK2A;GRK3;PRKCA;BRSK1;CAMK1D;MAP3K10;NUAK1;PRKCB;ACVR1B;CLK4;GRK2;CLK2;ULK3;BRSK2;CAMK2G;PLK2;LRRK1;NIM1K;CDK14;ROCK2;MAP3K9;DAPK3;CAMKK2;TLK2;CDK9;PRKCI;CAMKK1;LATS1;MAP3K12;MAP3K4;RPS6KB1;GSK3B;CAMK1;AKT1;MAPKAPK5;PASK;CDKL3;MKNK2;RAF1;STK36;MARK3;CDK20;DAPK1;MAPK13;CDK19;AKT3;ULK1;CDK10;MARK2;PLK1;MAP4K2;CSNK1G1;TTBK1;MKNK1;MAST1;STK4;MAPK8;PRKD2;PAK1;CDC7;AKT2;ATP23;MAPK14;PIM1;MASTL;PTK2B;TOP1;HIPK1;GSK3A;SIK2;VRK3;RPS6KA4;PIK3R4;WNK3;PRKAB2;CDK11A
prerank,Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process (GO:0008656),0.5366132611587309,1.5737262259957334,0.027210884353741496,0.2535440779421518,0.998,7/16,19.93%,CTSH;RPS27L;CASP1;PYCARD;CARD8;ST20;CTSS
prerank,Microtubule Minus-End Binding (GO:0051011),-0.5917068551867022,-1.5653263912268474,0.043557168784029036,0.22790914294741724,0.997,7/12,24.45%,CAMSAP3;TUBGCP6;TUBGCP5;TUBGCP4;TUBGCP2;TUBGCP3;CAMSAP2
prerank,Histone H3 Acetyltransferase Activity (GO:0010484),-0.5878613328480553,-1.5622566691044801,0.03697183098591549,0.22744131196931036,0.997,7/13,14.67%,KAT6B;KAT6A;JADE1;MCM3AP;BRPF3;BRD1;EP300
prerank,"DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)",-0.3363389369715791,-1.5589783734641165,0.0,0.22666472070312424,0.997,51/196,17.54%,ZBTB16;NKX6-3;POU6F1;SATB1;BCL11A;KCNIP3;ZNF148;ZNF398;MXD1;PRDM2;LRRFIP1;MYT1L;CTCF;ZBTB18;ZFP69B;ZNF785;ZBTB8A;ZNF133;NR1D1;PRDM1;FOXP4;ZNF669;ETS2;ZNF124;FOXP1;E2F6;ZNF487;PPARD;JDP2;MNT;SKIL;YY1;ZNF343;MZF1;ZNF692;NR3C1;SCRT1;CEBPB;MLX;ZNF557;FOXK1;NFX1;ZBTB4;INSM2;MYC;ERF;ZNF749;ZNF425;ZNF77;BHLHE40;CC2D1A
