roi_id,roi_name,tvs_value,pls1_score
186,ROI_186,0.0101793501526117,-8.372877687188632
187,ROI_187,-0.0420894473791122,10.418623203091274
188,ROI_188,-0.0528145208954811,5.70552030319566
189,ROI_189,-0.041075762361288,-74.86591720059268
190,ROI_190,0.0279952269047498,-82.13707636826034
191,ROI_191,-0.0831871554255485,-82.8144768256988
192,ROI_192,-0.0449297875165939,-75.35658610471873
193,ROI_193,-0.1003569886088371,-84.55261121617293
194,ROI_194,-0.0077673904597759,-77.28181629549034
195,ROI_195,-0.1183666139841079,-59.29925236186734
196,ROI_196,-0.0379726476967334,-62.83600703190892
197,ROI_197,-0.1293191015720367,-61.888285835081064
198,ROI_198,-0.0668259263038635,-41.754525902490165
199,ROI_199,-0.0831702649593353,-58.87118905726101
200,ROI_200,0.0043429411016404,-57.07675106664269
201,ROI_201,-0.1298230290412902,-37.54117398152925
202,ROI_202,-0.0507132820785045,-45.99010490280233
203,ROI_203,-0.0366994179785251,-80.5195068940445
204,ROI_204,0.0171823874115943,-72.10340563063671
205,ROI_205,-0.0981489717960357,-82.14975830214296
206,ROI_206,0.0168180596083402,-75.38895906043277
207,ROI_207,-0.0951138660311698,-56.73162665127342
208,ROI_208,-0.0013800864107906,-51.73750155439934
209,ROI_209,-0.0716926455497741,-42.3772152298615
210,ROI_210,0.0360254123806953,-54.24032945620441
211,ROI_211,0.0053667626343667,91.08609992681488
212,ROI_212,0.0096298372372984,76.90587497311972
213,ROI_213,0.0002382496313657,92.20370526091871
214,ROI_214,0.0148212434723973,68.38285095464475
215,ROI_215,-0.0046079936437308,79.77901576334307
216,ROI_216,0.0030956761911511,117.35072093339741
217,ROI_217,-0.01472092512995,58.90912829337578
218,ROI_218,-0.0041359523311257,68.16217365191632
219,ROI_219,0.0241997204720974,86.87076432908594
220,ROI_220,0.0376544035971164,79.13980227834905
221,ROI_221,-0.0142576210200786,119.39700626536822
222,ROI_222,-0.0087196389213204,118.40866755288532
223,ROI_223,0.0055868322961032,117.41630242814612
224,ROI_224,0.0110566541552543,73.89918382126079
225,ROI_225,0.0136574506759643,104.64413948592168
226,ROI_226,0.007282034959644,66.53143347834902
227,ROI_227,0.032672431319952,94.62513288117256
228,ROI_228,0.0182556211948394,100.58371427082811
229,ROI_229,-0.0164843574166297,103.09825890595678
230,ROI_230,-0.0092459432780742,64.9955025991633
231,ROI_231,0.0343309491872787,153.632019207856
232,ROI_232,0.0461733378469944,166.13989205354758
233,ROI_233,0.0045174625702202,141.6657956177397
234,ROI_234,0.0038789922837167,136.3276693712776
235,ROI_235,0.0066953524947166,137.97995362105158
236,ROI_236,0.0161438602954149,128.20640809330186
237,ROI_237,0.1005616337060928,133.55934627778748
238,ROI_238,0.0949281975626945,145.22820133335486
239,ROI_239,0.0145438471809029,141.22166575862943
240,ROI_240,0.0379669778048992,150.42093223871657
241,ROI_241,0.0393555536866188,122.3705809163975
242,ROI_242,0.0703652128577232,186.5610106178536
243,ROI_243,0.0528368987143039,153.21716795374476
244,ROI_244,0.0720090717077255,170.2859153202625
245,ROI_245,0.0146375419571995,149.67171800912485
246,ROI_246,0.0086388671770691,149.3326489696875
