gene,pls1_weight,boot_mean,boot_std,z_boot,p_boot
TWF2,-0.009000996370022116,-0.008161936130910872,0.0024899346694058516,-3.614952826119705,0.00030040231693728714
MAP1A,-0.009042761796881672,-0.008219360508121524,0.002499843746019536,-3.6173308076876114,0.00029765677632775933
PDK1,-0.009393791293944286,-0.008504018403850771,0.002596291148430302,-3.6181578863463373,0.00029670737937692593
DEPDC5,-0.008828948158636394,-0.007994159937328153,0.00243936979597316,-3.6193561850322826,0.0002953368923133137
COPA,-0.010488104324832397,-0.009637175650442427,0.0028977553940043297,-3.61938911287442,0.00029529931677352295
RUSC2,-0.008433099295857442,-0.007652737973598743,0.002329303465715452,-3.6204382211173987,0.00029410447052580224
SOCS2,-0.01008737094362399,-0.009071361126782963,0.002786141501896235,-3.6205522715765053,0.000293974849890688
NR2C1,-0.011444775441152823,-0.010215078063471657,0.0031608033812286778,-3.6208438364502045,0.00029364372377971293
MSANTD2,-0.01086739428251552,-0.010042472638428947,0.0030007299105730962,-3.62158361678076,0.0002928051328094927
ZNF514,-0.011536810828186776,-0.010630682080405303,0.003184098423216789,-3.6232582334975434,0.0002909151211905048
CNEP1R1,-0.010182075416915612,-0.009210056319244979,0.002810054748034715,-3.623443786651029,0.0002907064063220055
FAM27E2,-0.009927128269918753,-0.009079836764738614,0.002739560147651489,-3.6236212146788844,0.00029050696200183523
ADAMTS13,-0.0106948972289824,-0.009647382720934627,0.0029495814135817116,-3.6259033840315196,0.00028795300950412717
CCAR2,-0.010074230951759123,-0.009350167719811075,0.002778322808693199,-3.626011678786022,0.00028783234226814614
CELF1,-0.009960138450012984,-0.008952118526400318,0.0027460096558554123,-3.6271316194299,0.0002865872255366497
LPCAT4,-0.011423808618343015,-0.010404377610363386,0.0031484166224239733,-3.6284297754557646,0.00028515028934572584
MTO1,-0.01029087128290407,-0.009429876966696428,0.002832791642922853,-3.632766747464006,0.0002803984678583227
CALHM2,-0.009246790296868763,-0.008476451897775553,0.0025442910933220165,-3.6343287610206043,0.00027870529151807766
CCDC87,-0.011369223307392163,-0.01043471084110472,0.0031276141059439866,-3.6351106377814046,0.00027786136306140463
CCDC14,-0.010323464251625742,-0.009397643739470081,0.002839403983568584,-3.6357856477510238,0.00027713470936396867
FBXO34,-0.008850826328634747,-0.008046578787150377,0.0024343234853730815,-3.6358464196792153,0.000277069375349992
SNW1,-0.010080274135920156,-0.009149767246414874,0.0027719315750639995,-3.6365522968175785,0.0002763115655042281
AFTPH,-0.010081819959507113,-0.009112398367846984,0.0027710886958718975,-3.6382162629893595,0.00027453285769607483
TSEN54,-0.012800700329927365,-0.01192323053443633,0.003518352360095889,-3.638265591334489,0.000274480291972079
STK36,-0.010799965711897237,-0.009862097643670879,0.0029678858241082096,-3.6389424499314798,0.00027375996377720924
RAF1,-0.012745384960720224,-0.011880486135228515,0.0035021122883961125,-3.6393421772770513,0.00027333539742624424
PPIE,-0.009265822530424087,-0.008366526432626356,0.0025445915979779446,-3.641379047933333,0.00027118152362803905
C12orf29,-0.011874627327833114,-0.010949923152010752,0.0032601184942259846,-3.6423913268380694,0.0002701170241432571
SHROOM3,-0.007981773798296352,-0.007194125892578789,0.0021898410565459074,-3.6449101063463525,0.0002674852811512807
RIPPLY2,-0.011151551897250709,-0.010120622870419246,0.0030570753806544114,-3.647784404604232,0.0002645114455570585
IMMP2L,-0.013350582200105994,-0.012342479546924549,0.0036564775521153096,-3.6512140468037457,0.00026100359453584687
ESRRG,-0.010886722832532359,-0.009944245304116072,0.002978820620470401,-3.6547091012191197,0.00025747374578344306
GTF2H4,-0.010091301194017183,-0.009163145984281305,0.002760999918466699,-3.6549444013099834,0.0002572377187504138
HDAC3,-0.013693817091075727,-0.012693617848408853,0.0037458055559563734,-3.6557736077091816,0.00025640756688649624
LENG1,-0.011582867590690658,-0.010679274150086428,0.0031652635638363324,-3.659369072145165,0.00025283698094202833
GRPR,-0.009648121717444213,-0.00894545472224852,0.0026365258514696685,-3.6594072127402417,0.00025279935542976695
PEX14,-0.009681100181195484,-0.008963900895953681,0.0026454314722117274,-3.659554323326148,0.0002526542807299581
TMEM25,-0.009338941000408498,-0.008403006771111901,0.002551724491243121,-3.6598547501728356,0.00025235825404257284
TAF6,-0.009066767210338557,-0.008344559492528469,0.0024761533954094305,-3.6616338984279175,0.00025061182038355057
TRIM33,-0.011931630432560238,-0.011092863888879511,0.003257125265915224,-3.6632396541271968,0.0002490453292423034
G6PD,-0.010025708916632611,-0.009144038645188346,0.002736513090561959,-3.6636802327789244,0.0002486171321316455
APBA2,-0.009013211533062388,-0.00808034999139457,0.0024582517218406617,-3.6665128526030597,0.0002458805663616559
KBTBD8,-0.011196833856702507,-0.010442687801063031,0.0030538077645018086,-3.6665156159654777,0.00024587791055386
HERC1,-0.008506755162781314,-0.007642933874027579,0.0023194505015659223,-3.6675734864952623,0.0002448631886489139
ALG13,-0.010007570533780043,-0.009118683195704703,0.0027272951714433745,-3.6694123315166163,0.00024310868983756784
ENO2,-0.008688159363755216,-0.007947576703146225,0.002367302744938917,-3.6700668650554853,0.00024248703027440754
GGA2,-0.011212534717741526,-0.010177470719987569,0.003052232609328042,-3.6735518398809055,0.00023920212077177538
MKKS,-0.009032317552773832,-0.00811380168262599,0.0024586551506523397,-3.6736821552129193,0.00023908010013817815
RTN1,-0.00867191763182667,-0.007992639486615459,0.0023604171698595596,-3.673891946965728,0.00023888378451508707
SESN1,-0.010330966506974468,-0.009418417043898696,0.0028102304684790988,-3.6761990245467673,0.00023673485751940504
SHANK1,-0.008606644812141418,-0.007966162911965998,0.0023405069353827535,-3.6772567011145965,0.00023575576074730265
ARMC1,-0.011653003966809315,-0.010668144180347186,0.003168617715373969,-3.6776301256757935,0.0002354109881796962
LSMEM1,-0.010453346612851036,-0.0096276996688107,0.0028423415936239312,-3.677723548886754,0.00023532480713117643
LOC645513,-0.009579917946902617,-0.008820370552193167,0.002602373716447959,-3.6812229874418163,0.00023211788672594658
SLU7,-0.008526744926769919,-0.007732594904410126,0.0023145718225610237,-3.6839405213769774,0.0002296558512668856
