"G_front_sup","S_central","S_temporal_sup","G_and_S_paracentral","G_precentral","G_postcentral","G_front_sup","S_intrapariet_and_P_trans","G_pariet_inf-Supramar","G_orbital","S_temporal_sup","G_and_S_paracentral","mean"
2.859411594454152,1.9539573156692946,2.5218373320385203,2.508807498541936,2.695725702864221,1.9880474733810338,2.9307029423385123,2.1189507762210122,2.708335807011485,2.836109736932421,2.7158378223937154,2.4341736860888106,2.5226581406612594
3.0564785855623664,1.9088529044649298,2.5223011878458834,2.4725104332180092,2.994813207102511,2.313510586543449,3.0353294784047358,2.122292156472562,2.846110638768306,2.917783888092658,2.4868373025400157,2.5091121911372936,2.59882771334606
2.90580933039206,1.9245020260304322,2.5095512891210023,2.298644484873389,2.8275788852673935,2.373298928485565,2.882840611796448,2.2141832718370895,2.606590582084519,2.9361696228018346,2.68875830335127,2.3003033405353484,2.539019223048029
2.845963774066554,2.0121918003346604,2.4723368678934348,2.366772428259883,2.7850518020560004,2.161588714957815,2.8936599521063497,2.20958730074633,2.76285626732859,2.780580874320269,2.6494801777777695,2.5002350453025017,2.5366920837625133
3.202674330544807,1.837628705718918,2.6627339386393785,2.485127719512708,3.0066597300540305,1.9604983813540484,3.19851046932462,2.296343410296615,2.929540806023872,2.7606428180192513,2.7544529812925367,2.46252375736203,2.6297780873452345
2.984530689121571,1.9806327552731366,2.439098607171669,2.481284706472931,2.764781618081379,2.051345100189485,2.9036416735717,2.1155386143876815,2.8020885122198087,2.8290351410284966,2.602057495377514,2.4177296202052645,2.5309803777583864
2.8507184834175803,1.928555170282582,2.402869977623319,2.2431041227365043,2.6573304370952955,1.8062210999584225,2.7873987337120187,2.149101110911687,2.5549442131346254,2.879794421965802,2.4291193151449555,2.163653367631872,2.4044008711345555
3.2695895107638306,2.0153477203084242,2.5922189515596674,2.543897951939996,3.139050137240082,2.333077911435114,3.1016948239936073,2.201052465839087,2.825344907406294,2.790972014408864,2.722575751234595,2.58769629245073,2.6768765365483578
3.167795067319763,1.988708315023718,2.636920926947457,2.700998151648632,3.031730602277199,2.1411319037861687,3.074425049935047,2.3920557280414037,2.955941511458631,2.774098426796669,2.700421412449746,2.4351049926604182,2.666611007362071
2.970275453663963,2.0147661019691276,2.445832982354127,2.314490482106175,2.9192603892340134,1.9435145706150667,2.8594775281424076,2.0036727678338195,2.8226166503591092,2.7408944390862326,2.4484302019379345,2.423466134868877,2.492224808514238
2.94235932153834,2.022605596711396,2.5651332711146138,2.400052068728796,2.905495493804461,2.0827211106254966,2.9427367670676072,2.0779177298299447,2.7365437763126668,2.8302467451137368,2.6794356982952108,2.505075358274117,2.5575269114513657
2.757428299359603,1.915898806919254,2.4410455078225706,2.307396922260523,2.690263858089998,2.002789397054875,2.859121998075368,2.289834363315048,2.7120575486702814,2.8110040535137717,2.602467528523718,2.2204932713959837,2.4674834629167495
2.8689144040988914,2.02680994125707,2.437792273469189,2.4048936264195913,2.8701164878066727,2.0533519023570217,2.902720867223543,2.1067557447224763,2.7593512087348766,2.7005474514779637,2.6808232395187273,2.551224395580275,2.530275128555525
3.192808494926891,2.0113159073141467,2.501361973186922,2.21180583064405,2.8548957911253714,2.2250573212823896,3.2127236734205247,2.13663748981854,2.739001526161957,2.8480146711910055,2.6281444687851265,2.377157922519345,2.578243755864689
2.841710189708449,1.844804752270866,2.5934718965923382,2.46309356805934,2.7926731582642588,2.0885558143304808,2.9055844649176183,2.2296566561000324,2.888378999977877,2.7804902227068733,2.511510089362537,2.4088171101372007,2.529062243535656
