name,x.mni,y.mni,z.mni,lobe,hemi,index,gyrus,gyrus.full,subregion,subregion.full,Yeo_7network,Yeo_17network
PhG_L_6_4,-19,-12,-30,Temporal,L,115,PhG,Parahippocampal Gyrus,A28/34,area 28/34 (EC entorhinal cortex),Limbic,Salience/VenAttn B
PhG_R_6_4,19,-10,-30,Temporal,R,116,PhG,Parahippocampal Gyrus,A28/34,area 28/34 (EC entorhinal cortex),Limbic,Salience/VenAttn B
PhG_L_6_5,-23,2,-32,Temporal,L,117,PhG,Parahippocampal Gyrus,TI,area TI (temporal agranular insular cortex),Limbic,Salience/VenAttn B
PhG_R_6_5,22,1,-36,Temporal,R,118,PhG,Parahippocampal Gyrus,TI,area TI (temporal agranular insular cortex),Limbic,Salience/VenAttn B
PhG_L_6_6,-17,-39,-10,Temporal,L,119,PhG,Parahippocampal Gyrus,TH,area TH (medial PPHC),Visual,Visual B
PhG_R_6_6,19,-36,-11,Temporal,R,120,PhG,Parahippocampal Gyrus,TH,area TH (medial PPHC),Visual,Visual B
pSTS_L_2_1,-54,-40,4,Temporal,L,121,pSTS,posterior Superior Temporal Sulcus,rpSTS,rostroposterior superior temporal sulcus,Default,Default B
pSTS_R_2_1,53,-37,3,Temporal,R,122,pSTS,posterior Superior Temporal Sulcus,rpSTS,rostroposterior superior temporal sulcus,Default,Default B
pSTS_L_2_2,-52,-50,11,Temporal,L,123,pSTS,posterior Superior Temporal Sulcus,cpSTS,caudoposterior superior temporal sulcus,Ventral Attention,Default B
pSTS_R_2_2,57,-40,12,Temporal,R,124,pSTS,posterior Superior Temporal Sulcus,cpSTS,caudoposterior superior temporal sulcus,Ventral Attention,Default B
SPL_L_5_1,-16,-60,63,Parietal,L,125,SPL,Superior Parietal Lobule,A7r,rostral area 7,Dorsal Attention,Dorsal Attention A
SPL_R_5_1,19,-57,65,Parietal,R,126,SPL,Superior Parietal Lobule,A7r,rostral area 7,Dorsal Attention,Dorsal Attention A
SPL_L_5_2,-15,-71,52,Parietal,L,127,SPL,Superior Parietal Lobule,A7c,caudal area 7,Dorsal Attention,Temporal Parietal
SPL_R_5_2,19,-69,54,Parietal,R,128,SPL,Superior Parietal Lobule,A7c,caudal area 7,Dorsal Attention,Temporal Parietal
SPL_L_5_3,-33,-47,50,Parietal,L,129,SPL,Superior Parietal Lobule,A5l,lateral area 5,Dorsal Attention,Dorsal Attention A
SPL_R_5_3,35,-42,54,Parietal,R,130,SPL,Superior Parietal Lobule,A5l,lateral area 5,Dorsal Attention,Dorsal Attention A
SPL_L_5_4,-22,-47,65,Parietal,L,131,SPL,Superior Parietal Lobule,A7pc,postcentral area 7,Somatomotor,Somatomotor A
SPL_R_5_4,23,-43,67,Parietal,R,132,SPL,Superior Parietal Lobule,A7pc,postcentral area 7,Somatomotor,Somatomotor A
SPL_L_5_5,-27,-59,54,Parietal,L,133,SPL,Superior Parietal Lobule,A7ip,intraparietal area 7 (hIP3),Dorsal Attention,Temporal Parietal
SPL_R_5_5,31,-54,53,Parietal,R,134,SPL,Superior Parietal Lobule,A7ip,intraparietal area 7 (hIP3),Dorsal Attention,Temporal Parietal
IPL_L_6_1,-34,-80,29,Parietal,L,135,IPL,Inferior Parietal Lobule,A39c,caudal area 39 (PGp),Visual,Temporal Parietal
IPL_R_6_1,45,-71,20,Parietal,R,136,IPL,Inferior Parietal Lobule,A39c,caudal area 39 (PGp),Visual,Temporal Parietal
IPL_L_6_2,-38,-61,46,Parietal,L,137,IPL,Inferior Parietal Lobule,A39rd,rostrodorsal area 39 (Hip3),Frontoparietal,Control C
IPL_R_6_2,39,-65,44,Parietal,R,138,IPL,Inferior Parietal Lobule,A39rd,rostrodorsal area 39 (Hip3),Frontoparietal,Control C
IPL_L_6_3,-51,-33,42,Parietal,L,139,IPL,Inferior Parietal Lobule,A40rd,rostrodorsal area 40 (PFt),Dorsal Attention,Dorsal Attention A
IPL_R_6_3,47,-35,45,Parietal,R,140,IPL,Inferior Parietal Lobule,A40rd,rostrodorsal area 40 (PFt),Dorsal Attention,Dorsal Attention A
IPL_L_6_4,-56,-49,38,Parietal,L,141,IPL,Inferior Parietal Lobule,A40c,caudal area 40 (PFm),Default,Auditory
IPL_R_6_4,57,-44,38,Parietal,R,142,IPL,Inferior Parietal Lobule,A40c,caudal area 40 (PFm),Frontoparietal,Default A
IPL_L_6_5,-47,-65,26,Parietal,L,143,IPL,Inferior Parietal Lobule,A39rv,rostroventral area 39 (PGa),Dorsal Attention,Default B
IPL_R_6_5,53,-54,25,Parietal,R,144,IPL,Inferior Parietal Lobule,A39rv,rostroventral area 39 (PGa),Default,Visual C
IPL_L_6_6,-53,-31,23,Parietal,L,145,IPL,Inferior Parietal Lobule,A40rv,rostroventral area 40 (PFop),Somatomotor,Somatomotor B
IPL_R_6_6,55,-26,26,Parietal,R,146,IPL,Inferior Parietal Lobule,A40rv,rostroventral area 40 (PFop),Somatomotor,Somatomotor B
PCun_L_4_1,-5,-63,51,Parietal,L,147,Pcun,Precuneus,A7m,medial area 7 (PEp),Frontoparietal,Control B
PCun_R_4_1,6,-65,51,Parietal,R,148,Pcun,Precuneus,A7m,medial area 7 (PEp),Frontoparietal,Control B
PCun_L_4_2,-8,-47,57,Parietal,L,149,Pcun,Precuneus,A5m,medial area 5 (PEm),Somatomotor,Somatomotor A
PCun_R_4_2,7,-47,58,Parietal,R,150,Pcun,Precuneus,A5m,medial area 5 (PEm),Dorsal Attention,Dorsal Attention A
PCun_L_4_3,-12,-67,25,Parietal,L,151,Pcun,Precuneus,dmPOS,dorsomedial parietooccipital  sulcus (PEr),Visual,Visual B
PCun_R_4_3,16,-64,25,Parietal,R,152,Pcun,Precuneus,dmPOS,dorsomedial parietooccipital  sulcus (PEr),Visual,Visual B
PCun_L_4_4,-6,-55,34,Parietal,L,153,Pcun,Precuneus,A31,area 31 (Lc1),Default,Visual C
PCun_R_4_4,6,-54,35,Parietal,R,154,Pcun,Precuneus,A31,area 31 (Lc1),Default,Visual C
PoG_L_4_1,-50,-16,43,Parietal,L,155,PoG,Postcentral Gyrus,A1/2/3ulhf,area 1/2/3 (upper limb head and face region),Somatomotor,Somatomotor B
PoG_R_4_1,50,-14,44,Parietal,R,156,PoG,Postcentral Gyrus,A1/2/3ulhf,area 1/2/3 (upper limb head and face region),Somatomotor,Somatomotor B
