,name,x.mni,y.mni,z.mni,lobe,hemi,index,gyrus,gyrus.full,subregion,subregion.full,Yeo_7network,Yeo_17network
80,STG_R_6_6,56,-12,-5,Temporal,R,80,STG,Superior Temporal Gyrus,A22r,rostral area 22,Default,Auditory
81,MTG_L_4_1,-65,-30,-12,Temporal,L,81,MTG,Middle Temporal Gyrus,A21c,caudal area 21,Default,Auditory
82,MTG_R_4_1,65,-29,-13,Temporal,R,82,MTG,Middle Temporal Gyrus,A21c,caudal area 21,Frontoparietal,Default A
83,MTG_L_4_2,-53,2,-30,Temporal,L,83,MTG,Middle Temporal Gyrus,A21r,rostral area 21,Default,Auditory
84,MTG_R_4_2,51,6,-32,Temporal,R,84,MTG,Middle Temporal Gyrus,A21r,rostral area 21,Default,Auditory
85,MTG_L_4_3,-59,-58,4,Temporal,L,85,MTG,Middle Temporal Gyrus,A37dl,dorsolateral area 37,Dorsal Attention,Dorsal Attention A
86,MTG_R_4_3,60,-53,3,Temporal,R,86,MTG,Middle Temporal Gyrus,A37dl,dorsolateral area 37,Dorsal Attention,Dorsal Attention A
87,MTG_L_4_4,-58,-20,-9,Temporal,L,87,MTG,Middle Temporal Gyrus,aSTS,anterior superior temporal sulcus,Default,Auditory
88,MTG_R_4_4,58,-16,-10,Temporal,R,88,MTG,Middle Temporal Gyrus,aSTS,anterior superior temporal sulcus,Default,Default B
89,ITG_L_7_1,-45,-26,-27,Temporal,L,89,ITG,Inferior Temporal Gyrus,A20iv,intermediate ventral area 20,Limbic,Salience/VenAttn B
90,ITG_R_7_1,46,-14,-33,Temporal,R,90,ITG,Inferior Temporal Gyrus,A20iv,intermediate ventral area 20,Limbic,Salience/VenAttn B
91,ITG_L_7_2,-51,-57,-15,Temporal,L,91,ITG,Inferior Temporal Gyrus,A37elv,extreme lateroventral area 37,Dorsal Attention,Temporal Parietal
92,ITG_R_7_2,53,-52,-18,Temporal,R,92,ITG,Inferior Temporal Gyrus,A37elv,extreme lateroventral area 37,Dorsal Attention,Temporal Parietal
93,ITG_L_7_3,-43,-2,-41,Temporal,L,93,ITG,Inferior Temporal Gyrus,A20r,rostral area 20,Limbic,Salience/VenAttn B
94,ITG_R_7_3,40,0,-43,Temporal,R,94,ITG,Inferior Temporal Gyrus,A20r,rostral area 20,Limbic,Salience/VenAttn B
95,ITG_L_7_4,-56,-16,-28,Temporal,L,95,ITG,Inferior Temporal Gyrus,A20il,intermediate lateral area 20,Default,Auditory
96,ITG_R_7_4,55,-11,-32,Temporal,R,96,ITG,Inferior Temporal Gyrus,A20il,intermediate lateral area 20,Limbic,Auditory
97,ITG_L_7_5,-55,-60,-6,Temporal,L,97,ITG,Inferior Temporal Gyrus,A37vl,ventrolateral area 37,Dorsal Attention,Control C
98,ITG_R_7_5,54,-57,-8,Temporal,R,98,ITG,Inferior Temporal Gyrus,A37vl,ventrolateral area 37,Dorsal Attention,Temporal Parietal
