,roi_id,roi_name,tvs_value
74,75,ROI_075,0.059463195502758026
75,76,ROI_076,0.07654296606779097
76,77,ROI_077,0.008204566314816475
77,78,ROI_078,0.05207445845007896
78,79,ROI_079,0.06513769924640656
79,80,ROI_080,0.03649098426103592
80,81,ROI_081,-0.007548211608082056
81,82,ROI_082,-0.0045778788626194
82,83,ROI_083,0.015302042476832867
83,84,ROI_084,0.025117643177509308
84,85,ROI_085,0.040718555450439446
85,86,ROI_086,0.08935780823230742
86,87,ROI_087,0.07783723622560501
87,88,ROI_088,0.0845462828874588
88,89,ROI_089,-0.014066383242607117
89,90,ROI_090,0.007411434315145014
90,91,ROI_091,-0.003105731448158622
91,92,ROI_092,0.03443220257759094
92,93,ROI_093,0.007270832080394029
93,94,ROI_094,0.0011244447669014335
94,95,ROI_095,-0.010943901725113392
95,96,ROI_096,-0.012920808978378773
96,97,ROI_097,-0.03577603027224541
97,98,ROI_098,-0.019439829513430595
98,99,ROI_099,-0.06419628113508224
99,100,ROI_100,-0.019458029419183728
100,101,ROI_101,-0.02815611287951469
101,102,ROI_102,0.0009499643929302691
102,103,ROI_103,-0.013187302276492119
103,104,ROI_104,0.0007326727500185369
104,105,ROI_105,-0.03668000549077988
105,106,ROI_106,-0.04005472362041473
106,107,ROI_107,-0.0253030713647604
107,108,ROI_108,0.026627475395798683
108,109,ROI_109,-0.016017219051718712
109,110,ROI_110,-0.036298464983701706
110,111,ROI_111,0.010543666779994965
111,112,ROI_112,-0.0048926761373877525
112,113,ROI_113,-0.05152675136923789
113,114,ROI_114,-0.040946438908576965
114,115,ROI_115,-0.027761146426200863
115,116,ROI_116,-0.026066690683364868
116,117,ROI_117,-0.010984047316014767
117,118,ROI_118,0.0112835681065917
118,119,ROI_119,-0.06543668359518051
119,120,ROI_120,-0.01763402484357357
120,121,ROI_121,0.015742246061563492
121,122,ROI_122,0.046812444925308234
122,123,ROI_123,0.08713052421808241
123,124,ROI_124,0.07543322443962097
124,125,ROI_125,-0.10859018564224245
125,126,ROI_126,-0.07510454952716827
126,127,ROI_127,-0.015135664492845535
127,128,ROI_128,0.009632281959056854
128,129,ROI_129,-0.061187177896499634
129,130,ROI_130,-0.0537404827773571
130,131,ROI_131,-0.07980319857597351
131,132,ROI_132,-0.006584228947758675
132,133,ROI_133,0.01233833748847246
133,134,ROI_134,-0.09188969433307648
134,135,ROI_135,-0.0643371120095253
135,136,ROI_136,-0.007561078760772943
136,137,ROI_137,0.010203035548329352
137,138,ROI_138,0.05522891506552696
138,139,ROI_139,-0.025049565359950066
139,140,ROI_140,0.03985610604286194
140,141,ROI_141,0.04335954412817955
141,142,ROI_142,0.12373554706573486
142,143,ROI_143,-0.0006492945831269026
143,144,ROI_144,0.0656728446483612
144,145,ROI_145,-0.03270326927304268
145,146,ROI_146,-0.010682458989322184
146,147,ROI_147,0.07056644558906555
147,148,ROI_148,0.15068744122982025
148,149,ROI_149,-0.0988524854183197
149,150,ROI_150,-0.06514234840869904
150,151,ROI_151,-0.07272763550281523
151,152,ROI_152,-0.0566345788538456
