sub,session,marker,delta_value,delta_name
sub-017,SD,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-017,SD,global_theta_alpha_ratio_mean_linear,-1.3584937698693278,PVT_minus_CloseEye
sub-017,SD,global_theta_mean_db,2.6020941617968987,PVT_minus_CloseEye
sub-017,SD,n_epochs_total,-108.0,PVT_minus_CloseEye
sub-017,SD,posterior_alpha_mean_db,2.8782762603763956,PVT_minus_CloseEye
sub-018,RW,global_theta_alpha_ratio_cv_linear,-0.471063939854544,PVT_minus_CloseEye
sub-018,RW,global_theta_alpha_ratio_mean_linear,1.5039530729014714,PVT_minus_CloseEye
sub-018,RW,global_theta_mean_db,3.7360329307264806,PVT_minus_CloseEye
sub-018,RW,n_epochs_total,-274.0,PVT_minus_CloseEye
sub-018,RW,posterior_alpha_mean_db,-8.955040258526708,PVT_minus_CloseEye
sub-018,SD,global_theta_alpha_ratio_cv_linear,-0.26905372456185683,PVT_minus_CloseEye
sub-018,SD,global_theta_alpha_ratio_mean_linear,-0.8305800164429613,PVT_minus_CloseEye
sub-018,SD,global_theta_mean_db,-1.8804351145376899,PVT_minus_CloseEye
sub-018,SD,n_epochs_total,-186.0,PVT_minus_CloseEye
sub-018,SD,posterior_alpha_mean_db,-2.1665734104057464,PVT_minus_CloseEye
sub-019,RW,global_theta_alpha_ratio_cv_linear,-0.07394031250195376,PVT_minus_CloseEye
sub-019,RW,global_theta_alpha_ratio_mean_linear,0.37487920284447895,PVT_minus_CloseEye
sub-019,RW,global_theta_mean_db,-4.317632211781273,PVT_minus_CloseEye
sub-019,RW,n_epochs_total,-245.0,PVT_minus_CloseEye
sub-019,RW,posterior_alpha_mean_db,-9.654360898480036,PVT_minus_CloseEye
sub-019,SD,global_theta_alpha_ratio_cv_linear,0.03937937156558802,PVT_minus_CloseEye
sub-019,SD,global_theta_alpha_ratio_mean_linear,-1.0577434582705472,PVT_minus_CloseEye
sub-019,SD,global_theta_mean_db,-1.7101231791287574,PVT_minus_CloseEye
sub-019,SD,n_epochs_total,-35.0,PVT_minus_CloseEye
sub-019,SD,posterior_alpha_mean_db,1.377831080891056,PVT_minus_CloseEye
sub-020,RW,global_theta_alpha_ratio_cv_linear,-0.2505259915868367,PVT_minus_CloseEye
sub-020,RW,global_theta_alpha_ratio_mean_linear,1.3478532654047495,PVT_minus_CloseEye
sub-020,RW,global_theta_mean_db,-3.0489190682557705,PVT_minus_CloseEye
sub-020,RW,n_epochs_total,-284.0,PVT_minus_CloseEye
sub-020,RW,posterior_alpha_mean_db,-12.172978879119242,PVT_minus_CloseEye
sub-020,SD,global_theta_alpha_ratio_cv_linear,0.04474024892785711,PVT_minus_CloseEye
sub-020,SD,global_theta_alpha_ratio_mean_linear,-2.0804725831262765,PVT_minus_CloseEye
sub-020,SD,global_theta_mean_db,-4.478461106531782,PVT_minus_CloseEye
sub-020,SD,n_epochs_total,-267.0,PVT_minus_CloseEye
sub-020,SD,posterior_alpha_mean_db,2.482634597519251,PVT_minus_CloseEye
sub-021,RW,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-021,RW,global_theta_alpha_ratio_mean_linear,0.8761895334595547,PVT_minus_CloseEye
sub-021,RW,global_theta_mean_db,-2.3189656254708524,PVT_minus_CloseEye
sub-021,RW,n_epochs_total,-375.0,PVT_minus_CloseEye
sub-021,RW,posterior_alpha_mean_db,-13.865284090378424,PVT_minus_CloseEye
sub-021,SD,global_theta_alpha_ratio_cv_linear,-0.29186572426234,PVT_minus_CloseEye
sub-021,SD,global_theta_alpha_ratio_mean_linear,0.30721211105218593,PVT_minus_CloseEye
sub-021,SD,global_theta_mean_db,-0.4727889411405215,PVT_minus_CloseEye
sub-021,SD,n_epochs_total,-121.0,PVT_minus_CloseEye
sub-021,SD,posterior_alpha_mean_db,-4.673476472242825,PVT_minus_CloseEye
sub-022,RW,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-022,RW,global_theta_alpha_ratio_mean_linear,1.2957037325103633,PVT_minus_CloseEye
sub-022,RW,global_theta_mean_db,-2.1262654216861847,PVT_minus_CloseEye
sub-022,RW,n_epochs_total,-2.0,PVT_minus_CloseEye
sub-022,RW,posterior_alpha_mean_db,-16.319785620028426,PVT_minus_CloseEye
sub-022,SD,global_theta_alpha_ratio_cv_linear,-0.6003793198987407,PVT_minus_CloseEye
sub-022,SD,global_theta_alpha_ratio_mean_linear,0.3330353883588346,PVT_minus_CloseEye
sub-022,SD,global_theta_mean_db,-0.022231571422167917,PVT_minus_CloseEye
sub-022,SD,n_epochs_total,-324.0,PVT_minus_CloseEye
sub-022,SD,posterior_alpha_mean_db,-5.934014505153968,PVT_minus_CloseEye
sub-023,RW,global_theta_alpha_ratio_cv_linear,-0.583262189473156,PVT_minus_CloseEye
sub-023,RW,global_theta_alpha_ratio_mean_linear,0.9949776912259592,PVT_minus_CloseEye
sub-023,RW,global_theta_mean_db,-0.5229959446348289,PVT_minus_CloseEye
sub-023,RW,n_epochs_total,-6.0,PVT_minus_CloseEye
sub-023,RW,posterior_alpha_mean_db,-10.249936454565713,PVT_minus_CloseEye
sub-023,SD,global_theta_alpha_ratio_cv_linear,-0.15676186133770842,PVT_minus_CloseEye
sub-023,SD,global_theta_alpha_ratio_mean_linear,-1.0697401630176977,PVT_minus_CloseEye
sub-023,SD,global_theta_mean_db,-2.3037942803293703,PVT_minus_CloseEye
sub-023,SD,n_epochs_total,-322.0,PVT_minus_CloseEye
sub-023,SD,posterior_alpha_mean_db,-0.38211947126640666,PVT_minus_CloseEye
sub-024,RW,global_theta_alpha_ratio_cv_linear,-0.2551662334058736,PVT_minus_CloseEye
sub-024,RW,global_theta_alpha_ratio_mean_linear,-1.0953792502248296,PVT_minus_CloseEye
sub-024,RW,global_theta_mean_db,-1.8140759644371798,PVT_minus_CloseEye
sub-024,RW,n_epochs_total,-490.0,PVT_minus_CloseEye
sub-024,RW,posterior_alpha_mean_db,-0.8126330893902036,PVT_minus_CloseEye
sub-024,SD,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-024,SD,global_theta_alpha_ratio_mean_linear,-0.3162248263517835,PVT_minus_CloseEye
sub-024,SD,global_theta_mean_db,-5.550655129582623,PVT_minus_CloseEye
sub-024,SD,n_epochs_total,-319.0,PVT_minus_CloseEye
sub-024,SD,posterior_alpha_mean_db,-3.5993527994724275,PVT_minus_CloseEye
sub-025,RW,global_theta_alpha_ratio_cv_linear,-0.2104853096492429,PVT_minus_CloseEye
sub-025,RW,global_theta_alpha_ratio_mean_linear,0.02791634240008456,PVT_minus_CloseEye
sub-025,RW,global_theta_mean_db,-0.1979169449777629,PVT_minus_CloseEye
sub-025,RW,n_epochs_total,-299.0,PVT_minus_CloseEye
sub-025,RW,posterior_alpha_mean_db,-3.1955360194399987,PVT_minus_CloseEye
sub-025,SD,global_theta_alpha_ratio_cv_linear,-0.016717904217601942,PVT_minus_CloseEye
sub-025,SD,global_theta_alpha_ratio_mean_linear,-0.5469649983754055,PVT_minus_CloseEye
sub-025,SD,global_theta_mean_db,-2.753084406049055,PVT_minus_CloseEye
sub-025,SD,n_epochs_total,-287.0,PVT_minus_CloseEye
sub-025,SD,posterior_alpha_mean_db,-1.1785700047121281,PVT_minus_CloseEye
sub-026,RW,global_theta_alpha_ratio_cv_linear,-0.5457761967410822,PVT_minus_CloseEye
sub-026,RW,global_theta_alpha_ratio_mean_linear,1.6407554898525318,PVT_minus_CloseEye
sub-026,RW,global_theta_mean_db,1.0906202430816734,PVT_minus_CloseEye
sub-026,RW,n_epochs_total,-190.0,PVT_minus_CloseEye
sub-026,RW,posterior_alpha_mean_db,-9.368667371234253,PVT_minus_CloseEye
sub-026,SD,global_theta_alpha_ratio_cv_linear,-0.07551990865827507,PVT_minus_CloseEye
sub-026,SD,global_theta_alpha_ratio_mean_linear,1.3177620709625328,PVT_minus_CloseEye
sub-026,SD,global_theta_mean_db,1.9797353758757197,PVT_minus_CloseEye
sub-026,SD,n_epochs_total,-118.0,PVT_minus_CloseEye
sub-026,SD,posterior_alpha_mean_db,-2.987159768738877,PVT_minus_CloseEye
sub-027,RW,global_theta_alpha_ratio_cv_linear,-0.8250732524636015,PVT_minus_CloseEye
sub-027,RW,global_theta_alpha_ratio_mean_linear,0.3412650792289287,PVT_minus_CloseEye
sub-027,RW,global_theta_mean_db,1.002089238707839,PVT_minus_CloseEye
sub-027,RW,n_epochs_total,-53.0,PVT_minus_CloseEye
sub-027,RW,posterior_alpha_mean_db,-5.2719112142958835,PVT_minus_CloseEye
sub-027,SD,global_theta_alpha_ratio_cv_linear,-0.07457631971568479,PVT_minus_CloseEye
sub-027,SD,global_theta_alpha_ratio_mean_linear,-0.02742415529201514,PVT_minus_CloseEye
sub-027,SD,global_theta_mean_db,-2.1553661264662622,PVT_minus_CloseEye
sub-027,SD,n_epochs_total,-136.0,PVT_minus_CloseEye
sub-027,SD,posterior_alpha_mean_db,0.9345667036348857,PVT_minus_CloseEye
sub-028,RW,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-028,RW,global_theta_alpha_ratio_mean_linear,,PVT_minus_CloseEye
sub-028,RW,global_theta_mean_db,,PVT_minus_CloseEye
sub-028,RW,n_epochs_total,,PVT_minus_CloseEye
sub-028,RW,posterior_alpha_mean_db,,PVT_minus_CloseEye
sub-028,SD,global_theta_alpha_ratio_cv_linear,-0.43144371832945827,PVT_minus_CloseEye
sub-028,SD,global_theta_alpha_ratio_mean_linear,-1.986799148826596,PVT_minus_CloseEye
sub-028,SD,global_theta_mean_db,-3.639400752532012,PVT_minus_CloseEye
sub-028,SD,n_epochs_total,-94.0,PVT_minus_CloseEye
sub-028,SD,posterior_alpha_mean_db,-5.529590122501119,PVT_minus_CloseEye
sub-029,RW,global_theta_alpha_ratio_cv_linear,-0.24177680389067513,PVT_minus_CloseEye
sub-029,RW,global_theta_alpha_ratio_mean_linear,0.775504910258183,PVT_minus_CloseEye
sub-029,RW,global_theta_mean_db,3.297101774470619,PVT_minus_CloseEye
sub-029,RW,n_epochs_total,-344.0,PVT_minus_CloseEye
sub-029,RW,posterior_alpha_mean_db,-1.8824936775251189,PVT_minus_CloseEye
sub-029,SD,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-029,SD,global_theta_alpha_ratio_mean_linear,0.5445245420753775,PVT_minus_CloseEye
