feature,r
terms_abstract_tfidf__rt,0.0828996
terms_abstract_tfidf__compensatory,0.08285588
terms_abstract_tfidf__speakers,0.08267699
terms_abstract_tfidf__apart,0.08260194
terms_abstract_tfidf__attributed,0.08258358
terms_abstract_tfidf__recruit,0.08227244
LDA400_abstract_weight__34_monitoring_source_reality,0.082130864
terms_abstract_tfidf__trend,0.08205478
terms_abstract_tfidf__available,0.08198731
terms_abstract_tfidf__domains,0.081667006
terms_abstract_tfidf__supporting,0.0816009
terms_abstract_tfidf__attempted,0.08158849
terms_abstract_tfidf__expectancy,0.08158486
LDA100_abstract_weight__92_social_empathy_moral,0.08149007
LDA400_abstract_weight__311_knowledge_attributes_semantic,0.081298284
LDA200_abstract_weight__2_problem_problems_arithmetic,0.081248246
terms_abstract_tfidf__impairments,0.081148185
terms_abstract_tfidf__relies,0.081093736
terms_abstract_tfidf__remain unclear,0.08102127
terms_abstract_tfidf__middle temporal,0.080920584
terms_abstract_tfidf__cortex pfc,0.08089225
terms_abstract_tfidf__means,0.08085462
terms_abstract_tfidf__bold response,0.080797695
terms_abstract_tfidf__engage,0.08068737
LDA400_abstract_weight__130_frontal_inferior_gyrus,0.080655195
terms_abstract_tfidf__memory wm,0.08046647
terms_abstract_tfidf__condition,0.0803398
terms_abstract_tfidf__sense,0.08025313
terms_abstract_tfidf__monitor,0.08020339
terms_abstract_tfidf__inferences,0.08007509
terms_abstract_tfidf__subtle,0.079911865
terms_abstract_tfidf__indices,0.07978796
terms_abstract_tfidf__generated,0.07942489
terms_abstract_tfidf__26,0.079402715
terms_abstract_tfidf__classical,0.07936381
terms_abstract_tfidf__greater,0.07929384
terms_abstract_tfidf__substrates,0.07927111
LDA50_abstract_weight__8_mpfc_social_medial,0.07911446
terms_abstract_tfidf__mediating,0.07893746
terms_abstract_tfidf__dissociate,0.07880018
terms_abstract_tfidf__hemisphere,0.07879875
LDA400_abstract_weight__88_response_stimulus_contrast,0.078737
terms_abstract_tfidf__reappraisal,0.07870875
terms_abstract_tfidf__older,0.078578055
terms_abstract_tfidf__neuroscience,0.07851739
terms_abstract_tfidf__posterior inferior,0.07850376
terms_abstract_tfidf__correct,0.07840756
terms_abstract_tfidf__errors,0.07821723
terms_abstract_tfidf__basal,0.07791274
LDA50_abstract_weight__28_social_empathy_moral,0.07786767
terms_abstract_tfidf__imagine,0.07778836
terms_abstract_tfidf__domain,0.07771481
terms_abstract_tfidf__frontal cortices,0.077666916
terms_abstract_tfidf__precentral gyrus,0.07762846
terms_abstract_tfidf__images acquired,0.077616766
terms_abstract_tfidf__beliefs,0.07758126
terms_abstract_tfidf__typically developing,0.07739288
terms_abstract_tfidf__event functional,0.077174425
terms_abstract_tfidf__ability,0.07682635
